id,name,state_id/id
kabupaten_id_205,Mesuji,base.state_id_la
kabupaten_id_206,Metro,base.state_id_la
kabupaten_id_207,Pesawaran,base.state_id_la
kabupaten_id_208,Pesisir Barat,base.state_id_la
kabupaten_id_209,Pringsewu,base.state_id_la
kabupaten_id_210,Tanggamus,base.state_id_la
kabupaten_id_211,Tulang Bawang,base.state_id_la
kabupaten_id_212,Tulang Bawang Barat,base.state_id_la
kabupaten_id_213,Way Kanan,base.state_id_la
kabupaten_id_214,Aceh Barat,base.state_id_ac
kabupaten_id_215,Aceh Barat Daya,base.state_id_ac
kabupaten_id_216,Aceh Besar,base.state_id_ac
kabupaten_id_217,Aceh Jaya,base.state_id_ac
kabupaten_id_218,Aceh Selatan,base.state_id_ac
kabupaten_id_219,Aceh Singkil,base.state_id_ac
kabupaten_id_220,Aceh Tamiang,base.state_id_ac
kabupaten_id_221,Aceh Tengah,base.state_id_ac
kabupaten_id_222,Aceh Tenggara,base.state_id_ac
kabupaten_id_223,Aceh Timur,base.state_id_ac
kabupaten_id_224,Aceh Utara,base.state_id_ac
kabupaten_id_225,Banda Aceh,base.state_id_ac
kabupaten_id_226,Bener Meriah,base.state_id_ac
kabupaten_id_227,Bireuen,base.state_id_ac
kabupaten_id_228,Gayo Lues,base.state_id_ac
kabupaten_id_229,Langsa,base.state_id_ac
kabupaten_id_230,Lhokseumawe,base.state_id_ac
kabupaten_id_231,Nagan Raya,base.state_id_ac
kabupaten_id_232,Pidie,base.state_id_ac
kabupaten_id_233,Pidie Jaya,base.state_id_ac
kabupaten_id_234,Sabang,base.state_id_ac
kabupaten_id_235,Simeulue,base.state_id_ac
kabupaten_id_236,Subulussalam,base.state_id_ac
kabupaten_id_237,Bima,base.state_id_nb
kabupaten_id_238,Dompu,base.state_id_nb
kabupaten_id_239,Lombok Barat,base.state_id_nb
kabupaten_id_240,Lombok Tengah,base.state_id_nb
kabupaten_id_241,Lombok Timur,base.state_id_nb
kabupaten_id_242,Lombok Utara,base.state_id_nb
kabupaten_id_243,Mataram,base.state_id_nb
kabupaten_id_244,Sumbawa,base.state_id_nb
kabupaten_id_245,Sumbawa Barat,base.state_id_nb
kabupaten_id_246,Alor,base.state_id_nt
kabupaten_id_247,Belu,base.state_id_nt
kabupaten_id_248,Ende,base.state_id_nt
kabupaten_id_249,Flores Timur,base.state_id_nt
kabupaten_id_250,Kupang,base.state_id_nt
